Rank,Address,Address_Nametag,Quantity,Percentage,Value
133,0x1ef87ae94fc137d32c347452fa7af95fbd163168,,"1,816.75",0.01%,"$1,082.11"
134,0xc01f6d98decf5b6a7012f801a1dbb658e679f62e,,"1,808.56",0.01%,"$1,077.23"
135,0xdb3d0910b1ff1c876a17168336cac1502889becd,,"1,782.31",0.01%,"$1,061.60"
136,0x7032994807eff4b3bc91c08cafa95b24dc86b248,,"1,745.15",0.01%,"$1,039.47"
137,0x902a2dfb490a6753de072c6333c21c6073512ca2,,"1,718.36",0.01%,"$1,023.51"
138,0xa695293e700312b75d05f93989bac5c2f55bea06,,"1,708.95",0.01%,"$1,017.90"
139,0xc09bbfc1318f10578a033238c312984220b35ae3,,"1,676.36",0.01%,$998.49
140,0x88c4c783684a78b7efb5809c3922def7698495d6,,"1,666.83",0.01%,$992.82
141,0x5b6b0ae0df86d0bd7a2513241648fc38065cfbb9,,"1,651.92",0.01%,$983.94
142,0xf4952f29ca21487fefcdeca07bbca0be357955e2,,"1,581.84",0.01%,$942.19
143,0x38e5624cbb6537c673e3a3cc124c7b44253516b0,,"1,575.97",0.01%,$938.70
144,0x4c4bd90ec00557d4384296ebbe78d6cee2bb2bbd,,"1,556.72",0.01%,$927.23
145,0xf9e5bd3e6ae84130ac6a7c6ef586b5f2d405d40a,,"1,556.02",0.01%,$926.82
146,0x663ef426656fd14556cd01aeaf8366ef9afd70db,,"1,550",0.01%,$923.23
147,0xbd013066e05ed4b67537cde215981a6466472433,,"1,535.69",0.01%,$914.71
148,0x0ca270a9afa173b053bd73e3dc922cf922390f94,,"1,529.62",0.01%,$911.09
149,0x098beafaebcbf5cb9bbf1726af09f1b98787584e,,"1,519.15",0.01%,$904.85
150,0x72c4df4e8c295372a93e8842b94024e0c7caa91a,,"1,515.36",0.01%,$902.60
151,0x9188ea77b61e141b4f8a0aff4c7760977800e756,,"1,491.56",0.01%,$888.42
152,0x924863db96c788383035db0ad1a078705d958750,,"1,479.55",0.01%,$881.27
153,0x8ddd05c04eed7ad151bc72696c3e483368bf9c91,,"1,471.87",0.01%,$876.69
154,0xe6df0409b618fea1b87e8507c170198ac614731c,,"1,448.23",0.01%,$862.61
155,0xb1ee63b038660d891b254dd2f49c7780b04f182f,,"1,447.27",0.01%,$862.04
156,0xc440cea0cdac71e47f9f1f1a0e058f6c79a4ecf1,,"1,444.47",0.01%,$860.37
157,0x63ccf61ee8d36d9e4076e22928a195db8fd6e084,,"1,444.05",0.01%,$860.12
158,0x42b2d88a432ee9a025448942e62e0b84511a5f89,,"1,439.24",0.01%,$857.26
159,0xf42cc3a6e2bd7a0e8a7f1e915f51f6676aa92ade,,"1,429.39",0.01%,$851.39
160,0x006cff4033af2bd17cfc9185ec715b111c683d01,,"1,401.90",0.01%,$835.01
161,0xbb45aad6b4057be27866019b07f9dc55443131ca,,"1,401.37",0.01%,$834.70
162,0x6bfc2487d4e24e1280dbd367b7a34e7d8774eeba,,"1,398.30",0.01%,$832.87
163,0x6e33f00265805b99a6abc0c2a078a44cdb8a7b8d,,"1,368.63",0.01%,$815.20
164,0xfc2734b0e4b61ef40cfef51d07099a7a82927750,,"1,332.15",0.01%,$793.47
165,0xbbb40b66825669c152576dc99f097d1796fbf103,,"1,327.73",0.01%,$790.84
166,0xf39b8d7fd54bf1f05f327444dd1c0fd5115dd44a,,"1,325",0.01%,$789.21
167,0xd032d77887714b3d6d9dee30b03a6e1a20ae77eb,,"1,324.22",0.01%,$788.75
